fqdn,helpful,not_helpful,total,helpful_ratio,mean_helpful_sign,lower_helpful_sign,upper_helpful_sign,helpful_class,mean,ci_lower,ci_upper
www.whitehouse.gov,50,34,84,0.5952380952380952,0.1904761904761905,-0.023809523809523808,0.40476190476190477,uncertain,0.1918404761904762,-0.023809523809523808,0.40476190476190477
www.foxnews.com,51,31,82,0.6219512195121951,0.24441951219512192,0.024390243902439025,0.43902439024390244,helpful,0.2437146341463415,0.024390243902439025,0.43963414634145453
www.politico.com,42,29,71,0.5915492957746479,0.18432394366197183,-0.04225352112676056,0.4084507042253521,uncertain,0.18369014084507043,-0.04225352112676056,0.4084507042253521
www.politifact.com,68,3,71,0.9577464788732394,0.9156225352112675,0.8028169014084507,1.0,helpful,0.9153295774647886,0.8028169014084507,1.0
www.washingtonpost.com,34,31,65,0.5230769230769231,0.044015384615384616,-0.2,0.2923076923076923,uncertain,0.045870769230769236,-0.2,0.2923076923076923
www.dailymail.co.uk,54,11,65,0.8307692307692308,0.6611446153846153,0.47692307692307695,0.8461538461538461,helpful,0.6609261538461537,0.47692307692307695,0.8461538461538461
www.npr.org,42,19,61,0.6885245901639344,0.37548852459016396,0.14754098360655737,0.6065573770491803,helpful,0.3751868852459016,0.14754098360655737,0.6065573770491803
thehill.com,40,21,61,0.6557377049180327,0.30977377049180327,0.08196721311475409,0.5409836065573771,helpful,0.31084918032786885,0.08196721311475409,0.5409836065573771
www.theguardian.com,37,23,60,0.6166666666666667,0.23355333333333336,-0.03333333333333333,0.4666666666666667,uncertain,0.23328333333333334,0.0,0.4666666666666667
abcnews.go.com,38,22,60,0.6333333333333333,0.26653000000000004,0.03333333333333333,0.5,helpful,0.26456666666666667,0.03333333333333333,0.5
www.bbc.com,33,23,56,0.5892857142857143,0.18123928571428571,-0.07142857142857142,0.42857142857142855,uncertain,0.17827857142857143,-0.07142857142857142,0.42857142857142855
www.yahoo.com,44,7,51,0.8627450980392157,0.7263176470588235,0.5294117647058824,0.8823529411764706,helpful,0.7276666666666666,0.5294117647058824,0.8823529411764706
www.factcheck.org,44,6,50,0.88,0.7613559999999999,0.56,0.92,helpful,0.760588,0.56,0.92
www.pbs.org,29,14,43,0.6744186046511628,0.34778139534883723,0.06976744186046512,0.627906976744186,helpful,0.35156744186046507,0.06976744186046512,0.627906976744186
www.forbes.com,26,15,41,0.6341463414634146,0.26668292682926836,-0.024390243902439025,0.5609756097560976,uncertain,0.26809268292682925,-0.024390243902439025,0.5609756097560976
www.independent.co.uk,25,12,37,0.6756756756756757,0.3505783783783784,0.02702702702702703,0.6216216216216216,helpful,0.3506324324324325,0.02702702702702703,0.6216216216216216
www.gettyimages.com,35,2,37,0.9459459459459459,0.8922270270270269,0.7297297297297297,1.0,helpful,0.8917891891891891,0.7297297297297297,1.0
www.axios.com,28,8,36,0.7777777777777778,0.5557777777777777,0.2777777777777778,0.8333333333333334,helpful,0.5556777777777777,0.2777777777777778,0.8333333333333334
www.msn.com,22,13,35,0.6285714285714286,0.25713142857142857,-0.08571428571428572,0.6,uncertain,0.25428,-0.08571428571428572,0.5428571428571428
www.instagram.com,31,2,33,0.9393939393939394,0.8788121212121214,0.696969696969697,1.0,helpful,0.8785757575757578,0.696969696969697,1.0
www.donaldjtrump.com,24,8,32,0.75,0.49875625,0.1875,0.8125,helpful,0.49939375,0.1875,0.75
www.google.com,18,11,29,0.6206896551724138,0.2399448275862069,-0.10344827586206896,0.5862068965517241,uncertain,0.24208965517241376,-0.10344827586206896,0.5862068965517241
